Beatmap,SR
3341781 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x0.9],7.2422
3816040 | Bookmaker [Extra 0.9x],7.2395
3644358 | 9mm [Challenge x1.3],7.2392
3065260 | Break [Smash 1.05x],7.2391
3362200 | Shinbatsu o Tadori Kyoukotsu ni Itaru [Till November Night (reprise)],7.2387
2511370 | LTD Pack [uma - KEEP IT UP],7.2381
3875943 | A [ex 1.2],7.2376
1653309 | Corrosion [Virtuoso],7.2359
4485050 | Deep Down (Sped Up Ver.) [You & I (0.95x)],7.2343
3123870 | FUTURE DOMINATORS [NB5 Hard 54235 1.2x],7.2264
3015442 | Syzygia [Gravitational Lens],7.2242
1630539 | GHOST [x1.2],7.2142
